Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Uganda,rural/urban merged,UGA,Adjumani,n_age_0_6,3,clinical,ppy,0.123592925706602,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_7_13,10,clinical,ppy,0.134868808361767,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_14_20,17,clinical,ppy,0.13589058945975,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_21_27,24,clinical,ppy,0.183554187784895,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_28_34,31,clinical,ppy,0.136520647618412,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_35_41,38,clinical,ppy,0.224483552448774,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_42_48,45,clinical,ppy,0.0358838396644512,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_49_55,52,clinical,ppy,0.0752196776217681,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_56_62,59,clinical,ppy,0.126213531229958,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_63_69,66,clinical,ppy,0.265163323413961,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_70_76,73,clinical,ppy,0.0669072166656495,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_77_83,80,clinical,ppy,0.122568688163275,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_84_90,87,clinical,ppy,0.230039491605673,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_91_97,94,clinical,ppy,0.328300055220483,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_98_104,101,clinical,ppy,0.151805657080281,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_105_111,108,clinical,ppy,0.204457457368237,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_112_118,115,clinical,ppy,0.316433610975843,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_119_125,122,clinical,ppy,0.439427550399932,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_126_132,129,clinical,ppy,0.519447575302244,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_133_139,136,clinical,ppy,0.659348809378015,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_140_146,143,clinical,ppy,0.659367363782045,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_147_153,150,clinical,ppy,0.629360757012741,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_154_160,157,clinical,ppy,0.717992767880989,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_161_167,164,clinical,ppy,0.799535659429469,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_168_174,171,clinical,ppy,0.788573933288388,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_175_181,178,clinical,ppy,0.855782628935875,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_182_188,185,clinical,ppy,0.85059148019949,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_189_195,192,clinical,ppy,0.917916111788768,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_196_202,199,clinical,ppy,0.873687777775267,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_203_209,206,clinical,ppy,0.927428240959614,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_210_216,213,clinical,ppy,0.860347792387092,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_217_223,220,clinical,ppy,0.927136260241604,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_224_230,227,clinical,ppy,0.957068810590147,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_231_237,234,clinical,ppy,0.980849975058682,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_238_244,241,clinical,ppy,1.07292296037829,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_245_251,248,clinical,ppy,0.878240352151016,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_252_258,255,clinical,ppy,1.04261630228399,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_259_265,262,clinical,ppy,0.991670570780559,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_266_272,269,clinical,ppy,1.00595430440933,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_273_279,276,clinical,ppy,0.274702362369169,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_280_286,283,clinical,ppy,0.360528803660174,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_287_293,290,clinical,ppy,0.572676200507421,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_294_300,297,clinical,ppy,0.683889420756114,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_301_307,304,clinical,ppy,0.858032696142828,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_308_314,311,clinical,ppy,0.946127833320629,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_315_321,318,clinical,ppy,0.998600420739427,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_322_328,325,clinical,ppy,0.908033752682629,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_329_335,332,clinical,ppy,0.908059446180317,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_336_342,339,clinical,ppy,1.00748318649327,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_343_349,346,clinical,ppy,1.04284500573415,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_350_356,353,clinical,ppy,1.09679274420029,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_357_363,360,clinical,ppy,1.12092459097854,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_364_370,367,clinical,ppy,1.11172700154131,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_371_377,374,clinical,ppy,1.03667008928278,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_378_384,381,clinical,ppy,1.11552711459547,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_385_391,388,clinical,ppy,1.11543027138308,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_392_398,395,clinical,ppy,1.08024826327709,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_399_405,402,clinical,ppy,1.08868237747095,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_406_412,409,clinical,ppy,1.18771428820746,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_413_419,416,clinical,ppy,1.14115624321566,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_420_426,423,clinical,ppy,1.12357546863054,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_427_433,430,clinical,ppy,1.09263411824789,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_434_440,437,clinical,ppy,1.12600664767581,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_441_447,444,clinical,ppy,1.13561416029734,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_448_454,451,clinical,ppy,1.08149606550697,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_455_461,458,clinical,ppy,1.16627282396288,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_462_468,465,clinical,ppy,1.19154907739185,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_469_475,472,clinical,ppy,1.23023960848004,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_476_482,479,clinical,ppy,1.16193865327812,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_483_489,486,clinical,ppy,1.14258631339283,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_490_496,493,clinical,ppy,1.15769958781369,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_497_503,500,clinical,ppy,1.11162903528057,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_504_510,507,clinical,ppy,1.17651550797219,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_511_517,514,clinical,ppy,1.16855301800639,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_518_524,521,clinical,ppy,1.17582939138061,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_525_531,528,clinical,ppy,1.17567259166089,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_532_538,535,clinical,ppy,1.28455290911438,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_539_545,542,clinical,ppy,1.1946752687101,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_546_552,549,clinical,ppy,1.15681398513273,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_553_559,556,clinical,ppy,1.1724819040371,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_560_566,563,clinical,ppy,1.14812457399468,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_567_573,570,clinical,ppy,1.13285198082046,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_574_580,577,clinical,ppy,1.1442665059072,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_581_587,584,clinical,ppy,1.17231826956695,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_588_594,591,clinical,ppy,1.23411012248878,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_595_601,598,clinical,ppy,1.14913746039325,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_602_608,605,clinical,ppy,1.21686864800066,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_609_615,612,clinical,ppy,1.17489563945219,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_616_622,619,clinical,ppy,1.15864615016414,4,PMC co-delivery with EPI only
Uganda,rural/urban merged,UGA,Adjumani,n_age_623_629,626,clinical,ppy,1.19601799957208,4,PMC co-delivery with EPI only
