Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Uganda,rural/urban merged,UGA,Adjumani,n_age_0_6,3,clinical,ppy,0.123592925706602
Uganda,rural/urban merged,UGA,Adjumani,n_age_7_13,10,clinical,ppy,0.134868808361767
Uganda,rural/urban merged,UGA,Adjumani,n_age_14_20,17,clinical,ppy,0.13589058945975
Uganda,rural/urban merged,UGA,Adjumani,n_age_21_27,24,clinical,ppy,0.183554187784895
Uganda,rural/urban merged,UGA,Adjumani,n_age_28_34,31,clinical,ppy,0.136520647618412
Uganda,rural/urban merged,UGA,Adjumani,n_age_35_41,38,clinical,ppy,0.224483552448774
Uganda,rural/urban merged,UGA,Adjumani,n_age_42_48,45,clinical,ppy,0.2212104046145
Uganda,rural/urban merged,UGA,Adjumani,n_age_49_55,52,clinical,ppy,0.273250592897551
Uganda,rural/urban merged,UGA,Adjumani,n_age_56_62,59,clinical,ppy,0.248949674094594
Uganda,rural/urban merged,UGA,Adjumani,n_age_63_69,66,clinical,ppy,0.383286810409342
Uganda,rural/urban merged,UGA,Adjumani,n_age_70_76,73,clinical,ppy,0.305627926879336
Uganda,rural/urban merged,UGA,Adjumani,n_age_77_83,80,clinical,ppy,0.379126019292183
Uganda,rural/urban merged,UGA,Adjumani,n_age_84_90,87,clinical,ppy,0.426743640592103
Uganda,rural/urban merged,UGA,Adjumani,n_age_91_97,94,clinical,ppy,0.461228592270886
Uganda,rural/urban merged,UGA,Adjumani,n_age_98_104,101,clinical,ppy,0.523993536387443
Uganda,rural/urban merged,UGA,Adjumani,n_age_105_111,108,clinical,ppy,0.532040584651437
Uganda,rural/urban merged,UGA,Adjumani,n_age_112_118,115,clinical,ppy,0.544590647179786
Uganda,rural/urban merged,UGA,Adjumani,n_age_119_125,122,clinical,ppy,0.595560416583241
Uganda,rural/urban merged,UGA,Adjumani,n_age_126_132,129,clinical,ppy,0.619767596804269
Uganda,rural/urban merged,UGA,Adjumani,n_age_133_139,136,clinical,ppy,0.73863522734361
Uganda,rural/urban merged,UGA,Adjumani,n_age_140_146,143,clinical,ppy,0.720137340961732
Uganda,rural/urban merged,UGA,Adjumani,n_age_147_153,150,clinical,ppy,0.674091383060824
Uganda,rural/urban merged,UGA,Adjumani,n_age_154_160,157,clinical,ppy,0.745012800430564
Uganda,rural/urban merged,UGA,Adjumani,n_age_161_167,164,clinical,ppy,0.806384083980701
Uganda,rural/urban merged,UGA,Adjumani,n_age_168_174,171,clinical,ppy,0.788852683006195
Uganda,rural/urban merged,UGA,Adjumani,n_age_175_181,178,clinical,ppy,0.855783097887091
Uganda,rural/urban merged,UGA,Adjumani,n_age_182_188,185,clinical,ppy,0.850591480201468
Uganda,rural/urban merged,UGA,Adjumani,n_age_189_195,192,clinical,ppy,0.917916111788768
Uganda,rural/urban merged,UGA,Adjumani,n_age_196_202,199,clinical,ppy,0.873687777775267
Uganda,rural/urban merged,UGA,Adjumani,n_age_203_209,206,clinical,ppy,0.927428240959614
Uganda,rural/urban merged,UGA,Adjumani,n_age_210_216,213,clinical,ppy,0.860347792387092
Uganda,rural/urban merged,UGA,Adjumani,n_age_217_223,220,clinical,ppy,0.927136260241604
Uganda,rural/urban merged,UGA,Adjumani,n_age_224_230,227,clinical,ppy,0.957068810590147
Uganda,rural/urban merged,UGA,Adjumani,n_age_231_237,234,clinical,ppy,0.980849975058682
Uganda,rural/urban merged,UGA,Adjumani,n_age_238_244,241,clinical,ppy,1.07292296037829
Uganda,rural/urban merged,UGA,Adjumani,n_age_245_251,248,clinical,ppy,0.878240352151016
Uganda,rural/urban merged,UGA,Adjumani,n_age_252_258,255,clinical,ppy,1.04261630228399
Uganda,rural/urban merged,UGA,Adjumani,n_age_259_265,262,clinical,ppy,0.991670570780559
Uganda,rural/urban merged,UGA,Adjumani,n_age_266_272,269,clinical,ppy,1.00595430440933
Uganda,rural/urban merged,UGA,Adjumani,n_age_273_279,276,clinical,ppy,1.02807474101996
Uganda,rural/urban merged,UGA,Adjumani,n_age_280_286,283,clinical,ppy,0.988349383501622
Uganda,rural/urban merged,UGA,Adjumani,n_age_287_293,290,clinical,ppy,1.01092532222286
Uganda,rural/urban merged,UGA,Adjumani,n_age_294_300,297,clinical,ppy,0.938375227948516
Uganda,rural/urban merged,UGA,Adjumani,n_age_301_307,304,clinical,ppy,1.02994672272044
Uganda,rural/urban merged,UGA,Adjumani,n_age_308_314,311,clinical,ppy,1.06379195318812
Uganda,rural/urban merged,UGA,Adjumani,n_age_315_321,318,clinical,ppy,1.0938838230244
Uganda,rural/urban merged,UGA,Adjumani,n_age_322_328,325,clinical,ppy,0.974816236033554
Uganda,rural/urban merged,UGA,Adjumani,n_age_329_335,332,clinical,ppy,0.943428847329018
Uganda,rural/urban merged,UGA,Adjumani,n_age_336_342,339,clinical,ppy,1.01642191095306
Uganda,rural/urban merged,UGA,Adjumani,n_age_343_349,346,clinical,ppy,1.04322580169287
Uganda,rural/urban merged,UGA,Adjumani,n_age_350_356,353,clinical,ppy,1.09679336395695
Uganda,rural/urban merged,UGA,Adjumani,n_age_357_363,360,clinical,ppy,1.12092459098122
Uganda,rural/urban merged,UGA,Adjumani,n_age_364_370,367,clinical,ppy,1.11172700154131
Uganda,rural/urban merged,UGA,Adjumani,n_age_371_377,374,clinical,ppy,1.03667008928278
Uganda,rural/urban merged,UGA,Adjumani,n_age_378_384,381,clinical,ppy,1.11552711459547
Uganda,rural/urban merged,UGA,Adjumani,n_age_385_391,388,clinical,ppy,1.11543027138308
Uganda,rural/urban merged,UGA,Adjumani,n_age_392_398,395,clinical,ppy,1.08024826327709
Uganda,rural/urban merged,UGA,Adjumani,n_age_399_405,402,clinical,ppy,1.08868237747095
Uganda,rural/urban merged,UGA,Adjumani,n_age_406_412,409,clinical,ppy,1.18771428820746
Uganda,rural/urban merged,UGA,Adjumani,n_age_413_419,416,clinical,ppy,1.14115624321566
Uganda,rural/urban merged,UGA,Adjumani,n_age_420_426,423,clinical,ppy,1.12357546863054
Uganda,rural/urban merged,UGA,Adjumani,n_age_427_433,430,clinical,ppy,1.09263411824789
Uganda,rural/urban merged,UGA,Adjumani,n_age_434_440,437,clinical,ppy,1.12600664767581
Uganda,rural/urban merged,UGA,Adjumani,n_age_441_447,444,clinical,ppy,1.13561416029734
Uganda,rural/urban merged,UGA,Adjumani,n_age_448_454,451,clinical,ppy,1.08149606550697
Uganda,rural/urban merged,UGA,Adjumani,n_age_455_461,458,clinical,ppy,1.16627282396288
Uganda,rural/urban merged,UGA,Adjumani,n_age_462_468,465,clinical,ppy,1.19154907739185
Uganda,rural/urban merged,UGA,Adjumani,n_age_469_475,472,clinical,ppy,1.23023960848004
Uganda,rural/urban merged,UGA,Adjumani,n_age_476_482,479,clinical,ppy,1.16193865327812
Uganda,rural/urban merged,UGA,Adjumani,n_age_483_489,486,clinical,ppy,1.14258631339283
Uganda,rural/urban merged,UGA,Adjumani,n_age_490_496,493,clinical,ppy,1.15769958781369
Uganda,rural/urban merged,UGA,Adjumani,n_age_497_503,500,clinical,ppy,1.11162903528057
Uganda,rural/urban merged,UGA,Adjumani,n_age_504_510,507,clinical,ppy,1.17651550797219
Uganda,rural/urban merged,UGA,Adjumani,n_age_511_517,514,clinical,ppy,1.16855301800639
Uganda,rural/urban merged,UGA,Adjumani,n_age_518_524,521,clinical,ppy,1.17582939138061
Uganda,rural/urban merged,UGA,Adjumani,n_age_525_531,528,clinical,ppy,1.17567259166089
Uganda,rural/urban merged,UGA,Adjumani,n_age_532_538,535,clinical,ppy,1.28455290911438
Uganda,rural/urban merged,UGA,Adjumani,n_age_539_545,542,clinical,ppy,1.1946752687101
Uganda,rural/urban merged,UGA,Adjumani,n_age_546_552,549,clinical,ppy,1.15681398513273
Uganda,rural/urban merged,UGA,Adjumani,n_age_553_559,556,clinical,ppy,1.1724819040371
Uganda,rural/urban merged,UGA,Adjumani,n_age_560_566,563,clinical,ppy,1.14812457399468
Uganda,rural/urban merged,UGA,Adjumani,n_age_567_573,570,clinical,ppy,1.13285198082046
Uganda,rural/urban merged,UGA,Adjumani,n_age_574_580,577,clinical,ppy,1.1442665059072
Uganda,rural/urban merged,UGA,Adjumani,n_age_581_587,584,clinical,ppy,1.17231826956695
Uganda,rural/urban merged,UGA,Adjumani,n_age_588_594,591,clinical,ppy,1.23411012248878
Uganda,rural/urban merged,UGA,Adjumani,n_age_595_601,598,clinical,ppy,1.14913746039325
Uganda,rural/urban merged,UGA,Adjumani,n_age_602_608,605,clinical,ppy,1.21686864800066
Uganda,rural/urban merged,UGA,Adjumani,n_age_609_615,612,clinical,ppy,1.17489563945219
Uganda,rural/urban merged,UGA,Adjumani,n_age_616_622,619,clinical,ppy,1.15864615016414
Uganda,rural/urban merged,UGA,Adjumani,n_age_623_629,626,clinical,ppy,1.19601799957208
Uganda,rural/urban merged,UGA,Adjumani,n_age_630_636,633,clinical,ppy,1.20872061104351
Uganda,rural/urban merged,UGA,Adjumani,n_age_637_643,640,clinical,ppy,1.1910953233648
Uganda,rural/urban merged,UGA,Adjumani,n_age_644_650,647,clinical,ppy,1.19281590185728
Uganda,rural/urban merged,UGA,Adjumani,n_age_651_657,654,clinical,ppy,1.19432885181769
Uganda,rural/urban merged,UGA,Adjumani,n_age_658_664,661,clinical,ppy,1.24313547949889
Uganda,rural/urban merged,UGA,Adjumani,n_age_665_671,668,clinical,ppy,1.22936205933165
Uganda,rural/urban merged,UGA,Adjumani,n_age_672_678,675,clinical,ppy,1.19451334421757
Uganda,rural/urban merged,UGA,Adjumani,n_age_679_685,682,clinical,ppy,1.30588689273245
Uganda,rural/urban merged,UGA,Adjumani,n_age_686_692,689,clinical,ppy,1.21915638989415
Uganda,rural/urban merged,UGA,Adjumani,n_age_693_699,696,clinical,ppy,1.21979977752619
Uganda,rural/urban merged,UGA,Adjumani,n_age_700_706,703,clinical,ppy,1.20815762937536
Uganda,rural/urban merged,UGA,Adjumani,n_age_707_713,710,clinical,ppy,1.21160896386719
Uganda,rural/urban merged,UGA,Adjumani,n_age_714_720,717,clinical,ppy,1.18176805081887
Uganda,rural/urban merged,UGA,Adjumani,n_age_721_727,724,clinical,ppy,1.23876710273671
Uganda,rural/urban merged,UGA,Adjumani,n_age_728_734,731,clinical,ppy,1.19627821796077
Uganda,rural/urban merged,UGA,Adjumani,n_age_735_741,738,clinical,ppy,1.17763185263257
Uganda,rural/urban merged,UGA,Adjumani,n_age_742_748,745,clinical,ppy,1.23372381614237
Uganda,rural/urban merged,UGA,Adjumani,n_age_749_755,752,clinical,ppy,1.09007026866763
Uganda,rural/urban merged,UGA,Adjumani,n_age_756_762,759,clinical,ppy,1.188979041387
Uganda,rural/urban merged,UGA,Adjumani,n_age_763_769,766,clinical,ppy,1.18822904079458
Uganda,rural/urban merged,UGA,Adjumani,n_age_770_776,773,clinical,ppy,1.21673580730315
Uganda,rural/urban merged,UGA,Adjumani,n_age_777_783,780,clinical,ppy,1.25065321015889
Uganda,rural/urban merged,UGA,Adjumani,n_age_784_790,787,clinical,ppy,1.23696744736124
Uganda,rural/urban merged,UGA,Adjumani,n_age_791_797,794,clinical,ppy,1.1875323776266
Uganda,rural/urban merged,UGA,Adjumani,n_age_798_804,801,clinical,ppy,1.21429835243059
Uganda,rural/urban merged,UGA,Adjumani,n_age_805_811,808,clinical,ppy,1.22617375119268
Uganda,rural/urban merged,UGA,Adjumani,n_age_812_818,815,clinical,ppy,1.2107844131261
Uganda,rural/urban merged,UGA,Adjumani,n_age_819_825,822,clinical,ppy,1.25068505124516
Uganda,rural/urban merged,UGA,Adjumani,n_age_826_832,829,clinical,ppy,1.33247454991623
Uganda,rural/urban merged,UGA,Adjumani,n_age_833_839,836,clinical,ppy,1.17668026840093
Uganda,rural/urban merged,UGA,Adjumani,n_age_840_846,843,clinical,ppy,1.20133149372843
Uganda,rural/urban merged,UGA,Adjumani,n_age_847_853,850,clinical,ppy,1.19090120508674
Uganda,rural/urban merged,UGA,Adjumani,n_age_854_860,857,clinical,ppy,1.25444668869476
Uganda,rural/urban merged,UGA,Adjumani,n_age_861_867,864,clinical,ppy,1.19902610974854
Uganda,rural/urban merged,UGA,Adjumani,n_age_868_874,871,clinical,ppy,1.21806398842383
Uganda,rural/urban merged,UGA,Adjumani,n_age_875_881,878,clinical,ppy,1.2656278530478
Uganda,rural/urban merged,UGA,Adjumani,n_age_882_888,885,clinical,ppy,1.35610935586415
Uganda,rural/urban merged,UGA,Adjumani,n_age_889_895,892,clinical,ppy,1.25976356490679
Uganda,rural/urban merged,UGA,Adjumani,n_age_896_902,899,clinical,ppy,1.25469369355856
Uganda,rural/urban merged,UGA,Adjumani,n_age_903_909,906,clinical,ppy,1.21211183941245
Uganda,rural/urban merged,UGA,Adjumani,n_age_910_916,913,clinical,ppy,1.1884798241091
Uganda,rural/urban merged,UGA,Adjumani,n_age_0_6,3,severe,ppy,0.00984604528263138
Uganda,rural/urban merged,UGA,Adjumani,n_age_7_13,10,severe,ppy,0.0212390695760413
Uganda,rural/urban merged,UGA,Adjumani,n_age_14_20,17,severe,ppy,0.0148567347101569
Uganda,rural/urban merged,UGA,Adjumani,n_age_21_27,24,severe,ppy,0.0151036995024672
Uganda,rural/urban merged,UGA,Adjumani,n_age_28_34,31,severe,ppy,0.0148225176819648
Uganda,rural/urban merged,UGA,Adjumani,n_age_35_41,38,severe,ppy,0.00675958465139891
Uganda,rural/urban merged,UGA,Adjumani,n_age_42_48,45,severe,ppy,0.0254258683117759
Uganda,rural/urban merged,UGA,Adjumani,n_age_49_55,52,severe,ppy,0.0143483091100946
Uganda,rural/urban merged,UGA,Adjumani,n_age_56_62,59,severe,ppy,0.027588112164615
Uganda,rural/urban merged,UGA,Adjumani,n_age_63_69,66,severe,ppy,0.0133118855116622
Uganda,rural/urban merged,UGA,Adjumani,n_age_70_76,73,severe,ppy,0.0257502397790999
Uganda,rural/urban merged,UGA,Adjumani,n_age_77_83,80,severe,ppy,0.0156369684708745
Uganda,rural/urban merged,UGA,Adjumani,n_age_84_90,87,severe,ppy,0.0202631746549461
Uganda,rural/urban merged,UGA,Adjumani,n_age_91_97,94,severe,ppy,0.0328515665668134
Uganda,rural/urban merged,UGA,Adjumani,n_age_98_104,101,severe,ppy,0.0339981015785235
Uganda,rural/urban merged,UGA,Adjumani,n_age_105_111,108,severe,ppy,0.0248081159785323
Uganda,rural/urban merged,UGA,Adjumani,n_age_112_118,115,severe,ppy,0.0460765113479549
Uganda,rural/urban merged,UGA,Adjumani,n_age_119_125,122,severe,ppy,0.0420966050415297
Uganda,rural/urban merged,UGA,Adjumani,n_age_126_132,129,severe,ppy,0.0319711274456189
Uganda,rural/urban merged,UGA,Adjumani,n_age_133_139,136,severe,ppy,0.0274787108624923
Uganda,rural/urban merged,UGA,Adjumani,n_age_140_146,143,severe,ppy,0.0425210571987139
Uganda,rural/urban merged,UGA,Adjumani,n_age_147_153,150,severe,ppy,0.0461447020678645
Uganda,rural/urban merged,UGA,Adjumani,n_age_154_160,157,severe,ppy,0.0563193570885144
Uganda,rural/urban merged,UGA,Adjumani,n_age_161_167,164,severe,ppy,0.0399491860659829
Uganda,rural/urban merged,UGA,Adjumani,n_age_168_174,171,severe,ppy,0.0512536250669218
Uganda,rural/urban merged,UGA,Adjumani,n_age_175_181,178,severe,ppy,0.0376817684925202
Uganda,rural/urban merged,UGA,Adjumani,n_age_182_188,185,severe,ppy,0.0347220272851058
