Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Uganda,UGA,n_age_0_6,3,ppy,0.0651301807758047,0.00417752037583971
Uganda,UGA,n_age_7_13,10,ppy,0.0709197213327445,0.0048279777607926
Uganda,UGA,n_age_14_20,17,ppy,0.0867614256307927,0.00526598151153591
Uganda,UGA,n_age_21_27,24,ppy,0.0962061425648986,0.0064164258886616
Uganda,UGA,n_age_28_34,31,ppy,0.113291538401476,0.0087152181755285
Uganda,UGA,n_age_35_41,38,ppy,0.132934066198799,0.0105685975640836
Uganda,UGA,n_age_42_48,45,ppy,0.148954512764247,0.00912782067343789
Uganda,UGA,n_age_49_55,52,ppy,0.169225929788648,0.0106086751952541
Uganda,UGA,n_age_56_62,59,ppy,0.196095419933729,0.0114607908108073
Uganda,UGA,n_age_63_69,66,ppy,0.214339712863949,0.0147352060061077
Uganda,UGA,n_age_70_76,73,ppy,0.239703702526392,0.0149573040939027
Uganda,UGA,n_age_77_83,80,ppy,0.270243865361377,0.0158257111499957
Uganda,UGA,n_age_84_90,87,ppy,0.304449691386627,0.0193908777323903
Uganda,UGA,n_age_91_97,94,ppy,0.333870712490865,0.017811092987177
Uganda,UGA,n_age_98_104,101,ppy,0.368829141588191,0.0200758969366567
Uganda,UGA,n_age_105_111,108,ppy,0.411205748649479,0.0227381942039042
Uganda,UGA,n_age_112_118,115,ppy,0.444950718578626,0.0236205970408086
Uganda,UGA,n_age_119_125,122,ppy,0.477489029865107,0.0215070743677518
Uganda,UGA,n_age_126_132,129,ppy,0.524934143503687,0.0267179504850748
Uganda,UGA,n_age_133_139,136,ppy,0.564370739219804,0.0274942214153265
Uganda,UGA,n_age_140_146,143,ppy,0.607719610862562,0.0306333773804967
Uganda,UGA,n_age_147_153,150,ppy,0.641750975467455,0.0303673473538071
Uganda,UGA,n_age_154_160,157,ppy,0.67919804738333,0.0323490011110688
Uganda,UGA,n_age_161_167,164,ppy,0.716116359752988,0.0332611559205439
Uganda,UGA,n_age_168_174,171,ppy,0.745708005047725,0.0354759836136186
