Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Uganda,UGA,0-6mo,91,Adjumani,raw cases,4,1278.6316671581,80.1021138349371,967.97531476552,59.8990498243362,453.199375796446,28.3885632388351,343.490011761518,21.255493326701,310.656352392578,20.2030640106009,109.709364034927,7.13306991213409,24.2960001986379,25.2216365378727,PMC co-delivery with EPI only
Uganda,UGA,6-12mo,273.5,Adjumani,raw cases,4,2749.79762788039,157.226162345744,2474.42166535769,142.210412027705,985.976494753016,56.3820489589399,887.120284721877,50.9913193750081,275.375962522703,15.0157503180391,98.8562100311389,5.39072958393175,10.0144083233852,9.55041457096632,PMC co-delivery with EPI only
Uganda,UGA,12-18mo,456,Adjumani,raw cases,4,3152.74372780887,152.673229502913,3152.74372780887,152.673229502913,1145.1613806068,55.4492567618193,1145.1613806068,55.4492567618193,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,18-24mo,638.5,Adjumani,raw cases,4,3255.20223293197,123.216945206013,3255.20223293197,123.216945206013,1195.98652375433,45.2746268485607,1195.98652375433,45.2746268485607,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,24-30mo,821,Adjumani,raw cases,4,3411.61004721218,102.307181737869,3411.61004721218,102.307181737869,1221.42418825658,36.6171000003874,1221.42418825658,36.6171000003874,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,0-6mo,91,Apac,raw cases,4,16319.3896711189,661.977553886706,13312.2941442305,500.82554585961,1198.192417,48.5737171153846,978.142486336875,36.7873864373653,3007.09552688834,161.152008027096,220.049930663125,11.7863306780193,18.4265195420276,24.3440290506703,PMC co-delivery with EPI only
Uganda,UGA,6-12mo,273.5,Apac,raw cases,4,54076.4214758052,1436.66070383221,49245.3913822009,1318.58723339513,4018.66986953846,106.715182961538,3659.30211046479,97.9316090032668,4831.0300936043,118.073470437081,359.367759073669,8.78357395827166,8.93370892851294,8.21860513913461,PMC co-delivery with EPI only
Uganda,UGA,12-18mo,456,Apac,raw cases,4,54744.3452243284,1034.30298708745,54744.3452243284,1034.30298708745,4123.14678165385,77.8729374230769,4123.14678165385,77.8729374230769,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,18-24mo,638.5,Apac,raw cases,4,48547.219898931,738.34468140135,48547.219898931,738.34468140135,3698.19806442308,56.2238890769231,3698.19806442308,56.2238890769231,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,24-30mo,821,Apac,raw cases,4,41286.2009779243,446.255306999888,41286.2009779243,446.255306999888,3063.76228074074,33.1106413703704,3063.76228074074,33.1106413703704,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,0-6mo,91,Arua,raw cases,4,8264.80710021791,439.630802810288,6267.86593733344,334.566215622317,504.041939696765,26.7839597831546,382.694384925183,20.4006434824178,1996.94116288447,105.064587187971,121.347554771582,6.38331630073684,24.1619815038614,23.8983680207024,PMC co-delivery with EPI only
Uganda,UGA,6-12mo,273.5,Arua,raw cases,4,18868.6521037916,1009.45548248699,16971.6370241303,910.432084900062,1164.50190518428,62.2819472941636,1047.2872317469,56.1633438903686,1897.01507966129,99.023397586924,117.214673437382,6.11860340379501,10.0537922328861,9.80958539577803,PMC co-delivery with EPI only
Uganda,UGA,12-18mo,456,Arua,raw cases,4,21598.6729522837,937.417018742863,21598.6729522837,937.417018742863,1350.69069934891,58.6096053489964,1350.69069934891,58.6096053489964,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,18-24mo,638.5,Arua,raw cases,4,22226.1291854263,760.636236172568,22226.1291854263,760.636236172568,1405.58358081717,48.0887671600559,1405.58358081717,48.0887671600559,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,24-30mo,821,Arua,raw cases,4,22915.6309454416,616.417483899001,22915.6309454416,616.417483899001,1411.1122795226,37.9594114877161,1411.1122795226,37.9594114877161,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,0-6mo,91,Bugiri,raw cases,4,898.70418422791,49.1797992262582,755.946530216539,41.5922006637102,115.350597551424,6.32525382950536,97.0941824980159,5.35498722528342,142.757654011371,7.58759856254802,18.2564150534085,0.970266604221944,15.8848324639788,15.4282829168136,PMC co-delivery with EPI only
Uganda,UGA,6-12mo,273.5,Bugiri,raw cases,4,3501.96516586255,239.645396947697,3207.33334878679,215.53690754004,454.848018186233,31.1220461387199,416.555553343933,27.9889018187475,294.63181707576,24.1084894076567,38.2924648423,3.13314431997243,8.41332803500891,10.0600677979717,PMC co-delivery with EPI only
Uganda,UGA,12-18mo,456,Bugiri,raw cases,4,4287.9004929059,274.387449167594,4287.9004929059,274.387449167594,564.279023229615,36.0987798362417,564.279023229615,36.0987798362417,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,18-24mo,638.5,Bugiri,raw cases,4,4723.7616126833,259.908985430154,4723.7616126833,259.908985430154,628.855309315316,34.6033586436432,628.855309315316,34.6033586436432,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,24-30mo,821,Bugiri,raw cases,4,5182.59888718885,221.688077200962,5182.59888718885,221.688077200962,672.158896810225,28.7436547611936,672.158896810225,28.7436547611936,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,0-6mo,91,Bundibugyo,raw cases,4,1173.25243016419,74.4750832233152,925.183410932512,57.700156119088,296.258763398845,18.8187846772567,233.839496255975,14.5979417853062,248.069019231677,16.7749271042272,62.41926714287,4.22084289195047,21.1437038487072,22.5242139762733,PMC co-delivery with EPI only
Uganda,UGA,6-12mo,273.5,Bundibugyo,raw cases,4,2426.51807907716,156.293251293123,2187.24459769601,141.365047874618,620.066474853187,39.918466092102,558.870783430605,36.1003934178949,239.273481381149,14.9282034185047,61.1956914225818,3.81807267420715,9.86077472260782,9.55140627953752,PMC co-delivery with EPI only
Uganda,UGA,12-18mo,456,Bundibugyo,raw cases,4,2830.63747953767,175.294878934146,2830.63747953767,175.294878934146,733.148762340961,45.3854155208933,733.148762340961,45.3854155208933,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,18-24mo,638.5,Bundibugyo,raw cases,4,3078.24039489854,135.952241589417,3078.24039489854,135.952241589417,806.225899628405,35.6111391164903,806.225899628405,35.6111391164903,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,24-30mo,821,Bundibugyo,raw cases,4,3230.57041201163,120.194858743408,3230.57041201163,120.194858743408,824.123428868964,30.6532234359028,824.123428868964,30.6532234359028,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,0-6mo,91,Bushenyi,raw cases,4,3023.91831577003,192.670619436887,2309.77645324726,144.639000314467,273.600786543901,17.4138866505338,209.180444936755,13.0807782049733,714.141862522775,48.0316191224205,64.4203416071459,4.33310844556046,23.6164402589334,24.9293946647398,PMC co-delivery with EPI only
Uganda,UGA,6-12mo,273.5,Bushenyi,raw cases,4,5666.67635876048,394.86091824493,5177.10543438047,355.42869292174,519.349316020993,36.1716751436427,474.428816671085,32.5541097293964,489.570924380017,39.4322253231905,44.9204993499077,3.61756541424635,8.63947212413423,9.98635810767448,PMC co-delivery with EPI only
Uganda,UGA,12-18mo,456,Bushenyi,raw cases,4,6879.03951408324,359.962687648917,6879.03951408324,359.962687648917,639.038423938855,33.436019264124,639.038423938855,33.436019264124,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,18-24mo,638.5,Bushenyi,raw cases,4,7304.86391038813,327.30776304913,7304.86391038813,327.30776304913,686.4832514445,30.7509340944454,686.4832514445,30.7509340944454,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,24-30mo,821,Bushenyi,raw cases,4,7837.87649148979,296.634453746208,7837.87649148979,296.634453746208,717.409572106151,27.1479169497,717.409572106151,27.1479169497,0,0,0,0,0,0,PMC co-delivery with EPI only
Uganda,UGA,0-6mo,91,Busia,raw cases,4,2093.6564480327,107.493422943097,1736.52718068589,87.5519212067406,460.198815941775,23.6134390304605,381.976230919559,19.2472980097946,357.129267346809,19.9415017363568,78.2225850222164,4.36614102066585,17.05768239495,18.551369181827,PMC co-delivery with EPI only
Uganda,UGA,6-12mo,273.5,Busia,raw cases,4,8217.21258560876,338.213556654181,7483.4100753597,310.702511595207,1827.97812582194,75.2129952949696,1664.62301201232,69.0886569281077,733.802510249058,27.5110450589735,163.355113809627,6.12433836686189,8.93006603643437,8.13422304272187,PMC co-delivery with EPI only
Uganda,UGA,12-18mo,456,Busia,raw cases,4,9435.04033095021,322.32096972684,9435.04033095021,322.32096972684,2126.30705381329,72.6212443120388,2126.30705381329,72.6212443120388,0,0,0,0,0,0,PMC co-delivery with EPI only
