"","v024","v025","country","dataset"
"1","benguela","rural","AO","AOKR71FL"
"2","lunda sul","urban","AO","AOKR71FL"
"3","luanda","urban","AO","AOKR71FL"
"4","cuando cubango","rural","AO","AOKR71FL"
"5","namibe","rural","AO","AOKR71FL"
"6","cabinda","urban","AO","AOKR71FL"
"7","benguela","urban","AO","AOKR71FL"
"8","cuanza sul","rural","AO","AOKR71FL"
"9","malanje","rural","AO","AOKR71FL"
"10","cuando cubango","urban","AO","AOKR71FL"
"11","huíla","urban","AO","AOKR71FL"
"12","lunda norte","rural","AO","AOKR71FL"
"13","huambo","rural","AO","AOKR71FL"
"14","malanje","urban","AO","AOKR71FL"
"15","huíla","rural","AO","AOKR71FL"
"16","moxico","rural","AO","AOKR71FL"
"17","lunda norte","urban","AO","AOKR71FL"
"18","luanda","rural","AO","AOKR71FL"
"19","zaire","urban","AO","AOKR71FL"
"20","bié","urban","AO","AOKR71FL"
"21","bengo","urban","AO","AOKR71FL"
"22","cuanza norte","urban","AO","AOKR71FL"
"23","namibe","urban","AO","AOKR71FL"
"24","cunene","rural","AO","AOKR71FL"
"25","huambo","urban","AO","AOKR71FL"
"26","lunda sul","rural","AO","AOKR71FL"
"27","cabinda","rural","AO","AOKR71FL"
"28","moxico","urban","AO","AOKR71FL"
"29","uíge","rural","AO","AOKR71FL"
"30","bengo","rural","AO","AOKR71FL"
"31","bié","rural","AO","AOKR71FL"
"32","cuanza norte","rural","AO","AOKR71FL"
"33","uíge","urban","AO","AOKR71FL"
"34","cuanza sul","urban","AO","AOKR71FL"
"35","cunene","urban","AO","AOKR71FL"
"36","zaire","rural","AO","AOKR71FL"
"37","boucle du mouhoun","rural","BF","BFKR81FL"
"38","boucle du mouhoun","urban","BF","BFKR81FL"
"39","cascades","rural","BF","BFKR81FL"
"40","cascades","urban","BF","BFKR81FL"
"41","centre","urban","BF","BFKR81FL"
"42","centre","rural","BF","BFKR81FL"
"43","centre est","rural","BF","BFKR81FL"
"44","centre est","urban","BF","BFKR81FL"
"45","centre nord","rural","BF","BFKR81FL"
"46","centre nord","urban","BF","BFKR81FL"
"47","centre ouest","rural","BF","BFKR81FL"
"48","centre ouest","urban","BF","BFKR81FL"
"49","centre sud","rural","BF","BFKR81FL"
"50","centre sud","urban","BF","BFKR81FL"
"51","est","rural","BF","BFKR81FL"
"52","est","urban","BF","BFKR81FL"
"53","hauts-bassins","urban","BF","BFKR81FL"
"54","hauts-bassins","rural","BF","BFKR81FL"
"55","nord","rural","BF","BFKR81FL"
"56","nord","urban","BF","BFKR81FL"
"57","plateau central","rural","BF","BFKR81FL"
"58","plateau central","urban","BF","BFKR81FL"
"59","sahel","urban","BF","BFKR81FL"
"60","sahel","rural","BF","BFKR81FL"
"61","sud-ouest","rural","BF","BFKR81FL"
"62","sud-ouest","urban","BF","BFKR81FL"
"63","alibori","rural","BJ","BJKR71FL"
"64","alibori","urban","BJ","BJKR71FL"
"65","atacora","rural","BJ","BJKR71FL"
"66","atacora","urban","BJ","BJKR71FL"
"67","atlantic","urban","BJ","BJKR71FL"
"68","atlantic","rural","BJ","BJKR71FL"
