full.country,country,region,rurality,unique_ages,max_coverage_by_age,avg_coverage_by_age,vaccines_by_age,scenario
Angola,AGO,national,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.740817260478149, 0.580684220825623, 0.476132314470621, 0.625178110558352, 0.314508513406178","0.674894261858555, 0.524081872370984, 0.431212818032984, 0.467282512121405, 0.314508513406178","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only
Burundi,BDI,national,all,"42, 70, 98, 547.866, 84, 273.933, 182.622","0.979288001521704, 0.966633491506965, 1, 0.703961911711801, 0.936236122166908, 0.921437449850864, 0.79856753751344","0.961525251923964, 0.946077827606272, 0.931032745692984, 0.43365188305656, 0.92585859776794, 0.921437449850864, 0.79856753751344","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/ipv/Polio3, DPT4/Measles2, HepB3/Hib3/Penta3/Pneumonococcal3, Measles1, VitA1",EPI only
Benin,BEN,national,all,"42, 70, 98, 273.933, 182.622","0.824946027714512, 0.749623112867111, 0.6870960766878, 0.647092724615446, 0.602712039076756","0.814944124824113, 0.742784514350752, 0.671377292798691, 0.630368697874165, 0.602712039076756","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3, Measles1/yellow_fever, VitA1",EPI only
Burkina Faso,BFA,national,all,"56, 84, 112, 273.933, 456.555, 182.622","0.930388970565609, 0.895022208357039, 0.845478444886205, 0.849431197060618, 0.622756382693907, 0.448533381016409","0.902353592808948, 0.861974969261442, 0.775001249488971, 0.819890419824031, 0.606430744737013, 0.448533381016409","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/ipv/Penta3/Pneumonococcal3/Polio3/Rotavirus3, Measles1/yellow_fever, Measles2/MeningitisA1, VitA1",EPI only
Central African Republic,CAF,national,all,"42, 70, 70, 98, 273.933","0.682468559695403, 0.594584453666722, 0.704038520069203, 0.731684879625713, 0.713148023455032","0.6594199033664, 0.594584453666722, 0.668701940499647, 0.69808284441969, 0.59560356382992","DPT1/Polio1, DPT2, DPT2/Polio2, DPT3/Polio3, Measles1/yellow_fever",EPI only
Côte d’Ivoire,CIV,national,all,"42, 70, 98, 273.933, 182.622","0.806125548882227, 0.729310273810808, 0.604103357599704, 0.625922734648901, 0.553186055622455","0.686282621364606, 0.629057546290867, 0.545176690277247, 0.625922734648901, 0.553186055622455","DPT1/HepB1/Hib1/ipv/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3, Measles1, VitA1",EPI only
Cameroon,CMR,national,all,"42, 70, 98, 273.933, 182.622","0.851963978138018, 0.796195371729546, 0.730791175828574, 0.710588577215058, 0.753263414445103","0.821670377192833, 0.770721690205963, 0.713523340035935, 0.695101953371707, 0.753263414445103","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3, Measles1/yellow_fever, VitA1",EPI only
Congo - Kinshasa,COD,national,all,"42, 70, 98, 273.933, 182.622","0.869577066211488, 0.803800259447933, 0.665407518033776, 0.714189277361379, 0.711199737801309","0.808575990711001, 0.737824583980879, 0.592001545723094, 0.682391622696446, 0.711199737801309","DPT1/Polio1, DPT2/Polio2, DPT3/Polio3, Measles1/yellow_fever, VitA1",EPI only
Congo - Brazzaville,COG,national,all,"56, 84, 112, 273.933","0.843335967345264, 0.749820801405534, 0.572093567629817, 0.735050017373141","0.597833872154594, 0.520963192014592, 0.384302459373733, 0.652578307454214","DPT1/Penta1/Polio1, DPT2/Penta2/Polio2, DPT3/Penta3/Polio3, Measles1/VitA1/yellow_fever",EPI only
Gabon,GAB,national,all,"42, 70, 98, 273.933","0.809121546711316, 0.741680496820804, 0.676947636294571, 0.632018660036306","0.801591296878843, 0.735355145843348, 0.633591908587371, 0.626839855461494","DPT1/HepB1/Hib1/Penta1/Polio1, DPT2/HepB2/Hib2/Penta2/Polio2, DPT3/HepB3/Hib3/ipv/Penta3/Polio3, Measles1/yellow_fever",EPI only
Ghana,GHA,national,all,"42, 70, 98, 273.933, 547.866, 182.622","0.957867969580997, 0.925892853070757, 0.910561092018102, 0.864421364579523, 0.677135533455709, 0.908128265968316","0.94892164644366, 0.909678560007871, 0.855693808474026, 0.853487411483617, 0.661703118319761, 0.908128265968316","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/ipv/Penta3/Pneumonococcal3/Polio3, Measles1/yellow_fever, Measles2/MeningitisA1, VitA1",EPI only
Guinea,GIN,national,all,"42, 70, 98, 273.933","0.649904629466523, 0.524169718166809, 0.444479659093041, 0.450902647818059","0.62381792497505, 0.501024083657293, 0.401083685872299, 0.436616001903144","DPT1/HepB1/Hib1/Penta1/Polio1, DPT2/HepB2/Hib2/Penta2/Polio2, DPT3/HepB3/Hib3/ipv/Penta3/Polio3, Measles1/yellow_fever",EPI only
Equatorial Guinea,GNQ,national,all,"42, 70, 98, 547.866, 273.933, 182.622","0.881676155894394, 0.854630774705861, 1, 0.737451638976219, 0.587617022955736, 0.295283751879213","0.774246658897011, 0.692715616390824, 0.670783480886139, 0.541316904767462, 0.368619803133773, 0.295283751879213","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/ipv/Penta3/Pneumonococcal3/Polio3/Rotavirus3, DPT4/Measles2/MeningitisA1/Penta4, Measles1/Polio4/VitA2/yellow_fever, VitA1",EPI only
Kenya,KEN,national,all,"42, 70, 98, 273.933, 547.866, 182.622","0.941541017170461, 0.924965500725523, 0.883159212047046, 0.844191293863603, 0.605375196528408, 0.78734653972342","0.929799320623357, 0.898771890452168, 0.838903697877905, 0.467556566602261, 0.605375196528408, 0.78734653972342","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/ipv/Penta3/Pneumonococcal3/Polio3, Measles1/yellow_fever, Measles2, VitA1",EPI only
