full.country,country,region,rurality,unique_ages,max_coverage_by_age,avg_coverage_by_age,vaccines_by_age,scenario,n_doses
Angola,AGO,Bengo,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.598497183278077, 0.441250019672526, 0.315399559266991, 0.50249031609561, 0.25856635638065","0.563237393847367, 0.419514233116108, 0.298136480873955, 0.39133669848247, 0.25856635638065","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Benguela,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.696178362565552, 0.563516609072751, 0.407928842811003, 0.469334147439725, 0.219588371308431","0.562283686965138, 0.422913523021731, 0.312241572035833, 0.349670964406832, 0.219588371308431","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Bie,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.569242449334506, 0.407441905551349, 0.234057474919564, 0.220950994454272, 0.0544008887044756","0.35382015967228, 0.205391730901849, 0.125806437983756, 0.132703670427697, 0.0544008887044756","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Cabinda,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.852578069296967, 0.687795685582893, 0.536207568597639, 0.676588032984375, 0.170046406947031","0.730416983988149, 0.568675346336405, 0.449518745520042, 0.443889339465918, 0.170046406947031","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Cuando_Cubango,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.313153870135801, 0.203247700450432, 0.114080857052684, 0.322760889884347, 0.172023579525175","0.282325065229437, 0.179707774591263, 0.094281260915538, 0.216059390222142, 0.172023579525175","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Cuanza_Norte,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.680968019846437, 0.579876328562408, 0.413217821248568, 0.452230842707168, 0.293933471013197","0.503286925347889, 0.420775248422888, 0.275562036588172, 0.324034151410777, 0.293933471013197","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Cuanza_Sul,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.543147022791706, 0.455627440963962, 0.341840480650458, 0.390029425984313, 0.23830973371268","0.417336998155555, 0.338651777919726, 0.287302512651754, 0.2657430329595, 0.23830973371268","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Cunene,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.782675359633217, 0.7067965403705, 0.601099430330801, 0.586555582604973, 0.338257423965381","0.71116294320206, 0.635381805269556, 0.536868633632764, 0.453540809559309, 0.338257423965381","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Huambo,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.752828821520668, 0.602038594295886, 0.448651743950114, 0.665649328677936, 0.196857941819253","0.71187106751472, 0.567826744644319, 0.387892439558575, 0.471027399917311, 0.196857941819253","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
Angola,AGO,Huila,all,"60.874, 121.748, 182.622, 273.933, 456.555","0.60086911306081, 0.483382830108969, 0.415106874313674, 0.477026885806733, 0.269341473970577","0.535841020433631, 0.40677011640105, 0.348476907229957, 0.349063472871194, 0.269341473970577","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",EPI only,5
