Country,continent,Iso code,Admin-1 unit,rural_pfpr_2024,urban_pfpr_2024,weighted_prev,pv_present,population_rural,population_urban,population_total
Angola,Africa,AGO,Cabinda,0.309072018,0.233558397,0.242988712,no,182762,1280712,1463474
Angola,Africa,AGO,Zaire,0.406505708,0.29068428,0.35419223,no,433809,357342,791151
Angola,Africa,AGO,Uige,0.416237345,0.324046393,0.38293621,no,577937,326813,904750
Angola,Africa,AGO,Lunda_Norte,0.336991017,0.308547208,0.331697565,no,702083,160535,862618
Angola,Africa,AGO,Malanje,0.355965175,0.340176542,0.348507065,no,501916,449353,951269
Angola,Africa,AGO,Bengo,0.229025497,0.155937588,0.18788698,no,249681,321493,571174
Angola,Africa,AGO,Cuanza_Norte,0.379743921,0.364940533,0.37553897,no,246426,97770,344196
Angola,Africa,AGO,Lunda_Sul,0.215813493,0.152209284,0.196812276,no,352719,150261,502980
Angola,Africa,AGO,Luanda,0,0.10030196,0.100246793,no,9733,17686230,17695963
Angola,Africa,AGO,Cuanza_Sul,0.338712842,0.275537112,0.312358525,no,1095106,783804,1878910
Angola,Africa,AGO,Bie,0.241791095,0.217073744,0.237973007,no,878351,160466,1038817
Angola,Africa,AGO,Moxico,0.214943178,0.189857436,0.212504134,no,1037802,111771,1149573
Angola,Africa,AGO,Huambo,0.32057162,0.332753708,0.325895096,no,942973,731911,1674884
Angola,Africa,AGO,Benguela,0.334547594,0.181579117,0.252659267,no,924520,1065099,1989619
Angola,Africa,AGO,Huila,0.275780555,0.184390164,0.234152232,no,1734318,1450839,3185157
Angola,Africa,AGO,Namibe,0.128780833,0.108846199,0.120100273,no,363325,280242,643567
Angola,Africa,AGO,Cuando_Cubango,0.192085982,0.196574946,0.193226591,no,302747,103130,405877
Angola,Africa,AGO,Cunene,0.180563858,0.163081402,0.17674863,no,926805,258719,1185524
Burundi,Africa,BDI,Kirundo,0.259648722,0.259648722,0.259648722,no,1022753,0,1022753
Burundi,Africa,BDI,Muyinga,0.291559596,0.291216485,0.291485522,no,975735,268649,1244384
Burundi,Africa,BDI,Cibitoke,0.211821012,0.211821012,0.211821012,no,689670,0,689670
Burundi,Africa,BDI,Ngozi,0.257030972,0.221967571,0.25064118,no,831463,185288,1016751
Burundi,Africa,BDI,Kayanza,0.228885536,0.245965504,0.229873988,no,964528,59248,1023776
Burundi,Africa,BDI,Cankuzo,0.333561242,0,0.333561242,no,385297,0,385297
Burundi,Africa,BDI,Bubanza,0.211268579,0.231967896,0.212844055,no,439145,36178,475323
Burundi,Africa,BDI,Karuzi,0.295035906,0,0.295035906,no,575463,0,575463
Burundi,Africa,BDI,Gitega,0.246026402,0.216275833,0.242269043,no,884840,127905,1012745
Burundi,Africa,BDI,Muramvya,0.2077194,0,0.2077194,no,440617,0,440617
Burundi,Africa,BDI,Ruyigi,0.271620621,0,0.271620621,no,724932,0,724932
Burundi,Africa,BDI,Bujumbura_Rural,0.191450044,0.193705098,0.191841902,no,735302,154645,889947
Burundi,Africa,BDI,Bujumbura_Mairie,0.205339943,0.171960544,0.173154333,no,43071,1161233,1204304
Burundi,Africa,BDI,Mwaro,0.224378945,0,0.224378945,no,427761,0,427761
Burundi,Africa,BDI,Bururi,0.210635761,0.210443715,0.210627959,no,974233,41253,1015486
Burundi,Africa,BDI,Rutana,0.231466176,0,0.231466176,no,603179,0,603179
Burundi,Africa,BDI,Makamba,0.211089149,0.201479152,0.210577091,no,625377,35198,660575
Benin,Africa,BEN,Alibori,0.342038671,0.320643807,0.341118317,no,1202504,54054,1256558
Benin,Africa,BEN,Atakora,0.359718216,0.331260941,0.358960485,no,1029159,28153,1057312
Benin,Africa,BEN,Borgou,0.398145422,0.357364857,0.389614887,no,1386498,366746,1753244
Benin,Africa,BEN,Donga,0.413707268,0.349675856,0.409518737,no,683291,47825,731116
