iso3c,country,PCGDP,outpatient,inpatient,national,district,HF,cost_per_consumables,cost_per_tablet
BEN,Benin,1485,3.66,38.87,110575,43235,810,0.05,0.11
CIV,Cote d'Ivoire,2710,14.57,122.46,166990,65972,2920,0.05,0.11
CMR,Cameroon,1762,7.22,45.74,157847,26718,517,0.05,0.11
MOZ,Mozambique,647,3.65,67.12,168583,24993,106,0.05,0.11
AGO,Angola,2122,8.37,69.39,149243,42305,1134,0.05,0.11
BFA,Burkina Faso,987,3.78,49.37,145894,26870,207,0.05,0.11
BDI,Burundi,154,2.11,38.45,143482,19253,59,0.05,0.11
CAF,Central African Republic,516,2.72,42.86,144525,22255,102,0.05,0.11
TCD,Chad,1016,3.86,49.8,145978,27181,216,0.05,0.11
COG,Congo,2482,10.77,77.31,150321,48861,1947,0.05,0.11
COD,Democratic Republic of the Congo,647,2.98,44.58,144905,23454,124,0.05,0.11
GNQ,Equatorial Guinea,6745,14.57,122.46,166990,65972,2920,0.05,0.11
GAB,Gabon,8219,14.57,122.46,166990,65972,2920,0.05,0.11
GHA,Ghana,2406,10.2,75.55,150092,47389,1736,0.05,0.11
GIN,Guinea,1717,6.3,61.45,148038,35977,618,0.05,0.11
KEN,Kenya,2206,8.87,71.16,149494,43752,1287,0.05,0.11
LBR,Liberia,846,3.43,47.32,145483,25396,167,0.05,0.11
MDG,Madagascar,545,2.77,43.23,144609,22513,106,0.05,0.11
MWI,Malawi,508,2.7,42.76,144503,22185,101,0.05,0.11
MLI,Mali,1086,4.05,50.85,146182,27954,240,0.05,0.11
NER,Niger,723,3.14,45.6,145124,24172,139,0.05,0.11
NGA,Nigeria,807,3.33,46.77,145368,25000,158,0.05,0.11
SLE,Sierra Leone,873,3.49,47.71,145562,25673,174,0.05,0.11
SSD,South Sudan,351,2.42,40.79,144049,20832,80,0.05,0.11
TZA,Tanzania,1186,4.34,52.4,146474,29089,278,0.05,0.11
TGO,Togo,1043,3.93,50.2,146057,27477,225,0.05,0.11
UGA,Uganda,1073,4.01,50.65,146143,27804,235,0.05,0.11
ZMB,Zambia,1235,4.5,53.18,146618,29669,300,0.05,0.11
