Country,Iso code,full.country,Admin-1 unit,Rurality,unique_ages,max_coverage_by_age,avg_coverage_by_age,vaccines_by_age,N doses,Scenario
Angola,AGO,Angola,Bengo,rural,"60.874, 121.748, 182.622, 273.933, 456.555","0.449760765550239, 0.287179487179487, 0.203296703296703, 0.341935483870968, 0.130434782608696","0.413698630136986, 0.266911764705882, 0.185243328100471, 0.242616033755274, 0.130434782608696","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Bengo,urban,"60.874, 121.748, 182.622, 273.933, 456.555","0.710743801652893, 0.557522123893805, 0.4, 0.623655913978495, 0.355263157894737","0.676089517078916, 0.534678436317781, 0.383333333333333, 0.503571428571429, 0.355263157894737","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Benguela,rural,"60.874, 121.748, 182.622, 273.933, 456.555","0.491329479768786, 0.388535031847134, 0.238095238095238, 0.151079136690647, 0.0588235294117647","0.256198347107438, 0.162112932604736, 0.121477162293489, 0.0985576923076923, 0.0588235294117647","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Benguela,urban,"60.874, 121.748, 182.622, 273.933, 456.555","0.868965517241379, 0.711111111111111, 0.551181102362205, 0.737777777777778, 0.355191256830601","0.820462370880472, 0.642895156998403, 0.473148671565856, 0.561481481481481, 0.355191256830601","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Bie,rural,"60.874, 121.748, 182.622, 273.933, 456.555","0.528169014084507, 0.370786516853933, 0.201646090534979, 0.177033492822967, 0.031055900621118","0.297807241203468, 0.157437567861021, 0.0897740784780024, 0.100470957613815, 0.031055900621118","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Bie,urban,"60.874, 121.748, 182.622, 273.933, 456.555","0.787709497206704, 0.602409638554217, 0.406451612903226, 0.454545454545455, 0.178571428571429","0.651749389747762, 0.460456942003515, 0.317460317460317, 0.304147465437788, 0.178571428571429","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Cabinda,rural,"60.874, 121.748, 182.622, 273.933, 456.555","0.835820895522388, 0.682539682539683, 0.466666666666667, 0.566037735849057, 0.162790697674419","0.613733905579399, 0.479452054794521, 0.419047619047619, 0.378048780487805, 0.162790697674419","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Cabinda,urban,"60.874, 121.748, 182.622, 273.933, 456.555","0.854901960784314, 0.688524590163934, 0.54585152838428, 0.691919191919192, 0.171052631578947","0.746598639455782, 0.581048867699642, 0.45374449339207, 0.453020134228188, 0.171052631578947","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Cuando_Cubango,rural,"60.874, 121.748, 182.622, 273.933, 456.555","0.254545454545455, 0.163265306122449, 0.072463768115942, 0.279661016949153, 0.13953488372093","0.225108225108225, 0.139941690962099, 0.0610766045548654, 0.186968838526912, 0.13953488372093","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
Angola,AGO,Angola,Cuando_Cubango,urban,"60.874, 121.748, 182.622, 273.933, 456.555","0.480349344978166, 0.317307692307692, 0.232804232804233, 0.445714285714286, 0.264705882352941","0.445550715619166, 0.293150684931507, 0.189006024096386, 0.299047619047619, 0.264705882352941","DPT1/HepB1/Hib1/Penta1/Pneumonococcal1/Polio1/Rotavirus1, DPT2/HepB2/Hib2/Penta2/Pneumonococcal2/Polio2/Rotavirus2, DPT3/HepB3/Hib3/Penta3/Pneumonococcal3/Polio3/VitA1, Measles1/VitA2/yellow_fever, Measles2",5,PMC co-delivery with EPI only
